District,Population,Density,Annual_Income,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Burger King,Mc Donalds,KFC,Segment
Avcılar,457981,10902,43938,43,56,210,77,100,109,40,90,70,4,2,2,2
Bağcılar,744351,33289,38367,49,82,129,33,115,103,30,91,27,6,2,2,2
Bayrampaşa,274884,28604,41762,44,48,199,31,108,157,35,114,42,5,1,0,2
Beylikdüzü,398122,10538,51924,27,43,148,24,76,87,118,67,15,4,3,3,2
Esenler,447116,24260,34164,31,96,185,29,100,97,37,68,90,1,0,0,2
Esenyurt,977489,22664,36288,22,40,152,13,82,127,63,103,16,6,4,3,2
Eyüpsultan,417360,1827,56044,10,31,141,17,90,116,33,64,42,10,3,0,2
Gaziosmanpaşa,493096,41930,36228,43,71,48,14,72,110,22,71,38,3,1,1,2
Güngören,283083,39263,40656,31,38,140,23,87,133,35,121,35,3,2,0,2
Kağıthane,454550,30568,50260,24,51,171,18,95,125,71,86,35,6,0,1,2
Küçükçekmece,805930,21469,42804,39,42,140,24,86,93,33,63,24,7,1,2,2
Silivri,209014,240,28464,30,39,136,24,96,109,42,119,40,2,0,0,2
Sultanbeyli,349485,11993,26064,26,27,122,12,56,101,21,90,31,3,0,0,2
Sultangazi,543380,14969,26244,30,27,165,24,105,124,37,93,23,2,0,2,2
Zeytinburnu,293839,25353,6036,33,41,173,36,82,114,46,143,50,2,1,1,2
