District,Population,Density,Annual_Income,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Burger King,Mc Donalds,KFC,Segment
Ataşehir,427217,16933,78924,30,91,190,36,106,165,69,102,56,8,3,6,3
Bakırköy,228759,7718,106140,60,90,217,52,115,145,49,97,65,17,5,6,3
Beşiktaş,178938,9935,126720,70,61,162,100,82,92,29,71,79,9,3,4,3
Beyoğlu,233322,26187,57275,130,54,224,217,89,190,32,117,159,4,2,1,3
Fatih,382990,24566,63378,36,47,235,49,101,163,19,102,66,7,4,3,3
Kadıköy,485233,19340,108300,137,77,222,145,92,104,25,93,96,12,10,10,3
Maltepe,525566,9922,69259,48,64,207,53,91,109,30,79,58,7,4,5,3
Pendik,741895,4122,36664,38,78,191,25,77,102,17,78,79,12,6,3,3
Şişli,284294,26545,93864,66,76,200,48,94,163,60,121,93,13,7,4,3
Ümraniye,726758,16040,43641,26,65,180,17,87,141,55,125,52,11,4,5,3
Üsküdar,525395,14871,83839,45,59,157,20,98,104,16,68,68,7,5,6,3
