District,Burger King,Mc Donalds,KFC
Adalar,0,0,0
Arnavutköy,5,0,0
Ataşehir,8,3,6
Avcılar,4,2,2
Bağcılar,6,2,2
Bahçelievler,8,2,3
Bakırköy,17,5,6
Başakşehir,7,0,3
Bayrampaşa,5,1,0
Beşiktaş,9,3,4
Beykoz,2,1,2
Beylikdüzü,4,3,3
Beyoğlu,4,2,1
Büyükçekmece,4,1,1
Çatalca,0,0,0
Çekmeköy,4,2,0
Esenler,1,0,0
Esenyurt,6,4,3
Eyüpsultan,10,3,0
Fatih,7,4,3
Gaziosmanpaşa,3,1,1
Güngören,3,2,0
Kadıköy,12,10,10
Kağıthane,6,0,1
Kartal,6,3,1
Küçükçekmece,7,1,2
Maltepe,7,4,5
Pendik,12,6,3
Sancaktepe,3,0,0
Sarıyer,7,2,4
Silivri,2,0,0
Sultanbeyli,3,0,0
Sultangazi,2,0,2
Şile,0,0,0
Şişli,13,7,4
Tuzla,4,2,1
Ümraniye,11,4,5
Üsküdar,7,5,6
Zeytinburnu,2,1,1
