,Borough,Population,Area,Density,Mensual_Household_Income,Annual_Income,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Adalar,16033,11,1451,6652,79821,40.87625945,29.091027262109563,5,5,0,64,8,46,25,2,7,26
1,Arnavutköy,296709,450,659,2030,24360,41.184471,28.7412446,17,24,8,78,10,51,101,19,90,13
2,Ataşehir,422594,25,16750,6577,78924,40.9847487,29.1067199,28,102,8,190,35,106,162,74,113,54
3,Avcılar,436897,42,10400,3662,43938,40.9801353,28.7175465,41,64,10,207,78,101,114,48,105,75
4,Bağcılar,737206,22,32970,3197,38367,41.0338992,28.8578982,52,82,18,128,34,111,107,32,103,26
5,Bahçelievler,592371,16,35642,4674,56088,41.0533837,29.0797099,12,36,8,74,4,69,72,33,65,11
6,Bakırköy,226229,29,7633,8845,106140,40.9835414,28.8679735,53,96,5,221,51,109,161,45,148,71
7,Başakşehir,469924,104,4506,4513,54152,41.0976935,28.8061626,3,29,3,81,7,48,89,58,57,5
8,Bayrampaşa,269950,9,28091,3480,41762,41.0357375,28.9122605,43,48,10,197,26,109,161,30,149,43
9,Beşiktaş,176513,18,9801,10560,126720,41.0428465,29.0075283,73,69,6,174,101,80,118,28,76,95
10,Beykoz,246110,310,793,3693,44316,41.1239355,29.1083151,6,14,3,29,18,45,76,9,20,5
11,Beylikdüzü,365572,37,9676,4327,51924,41.0010262,28.6419843,27,43,9,145,24,82,91,132,77,15
12,Beyoğlu,226396,8,25409,4773,57275,41.0284233,28.9736808,150,62,21,247,215,92,193,39,173,156
13,Büyükçekmece,257362,139,1849,3671,44049,41.0156913,28.5955238,10,14,6,153,43,76,58,50,55,25
14,Çatalca,74975,1115,67,2128,25536,41.1435632,28.4619692,6,10,4,85,13,53,106,57,85,12
15,Çekmeköy,273658,148,1848,3503,42033,41.04021,29.1750588,11,6,5,82,14,42,68,36,43,6
16,Esenler,446276,18,24215,2847,34164,41.0332539,28.8909528,30,78,11,182,29,99,113,39,74,97
17,Esenyurt,957398,43,22198,3024,36288,41.0342402,28.6800178,23,39,13,149,13,81,127,65,115,18
18,Eyüpsultan,405845,228,1777,4670,56044,41.0460444,28.9253241,11,30,5,141,16,80,136,30,62,45
19,Fatih,396594,15,25439,5281,63378,41.019297,28.9478024,35,64,15,229,48,102,160,18,109,60
20,Gaziosmanpaşa,487778,11,41478,3019,36228,41.0575263,28.9156504,43,71,8,48,15,67,125,38,72,37
21,Güngören,280299,7,38876,3388,40656,41.0228713,28.8726289,32,39,9,148,22,87,144,44,118,35
22,Kadıköy,481983,25,19210,9025,108300,40.9915716,29.0270173,139,96,20,249,138,107,148,28,160,120
23,Kağıthane,442415,14,29752,4188,50260,41.08598,28.9726208,23,50,4,172,15,93,145,69,83,34
24,Kartal,474514,38,12312,4120,49443,47.66792,19.5311002,1,0,0,5,0,1,5,0,4,2
25,Küçükçekmece,789633,37,21034,3567,42804,41.0002141,28.7808891,36,41,11,147,24,86,83,41,67,24
26,Maltepe,515021,52,9723,5772,69259,40.9235417,29.1328359,46,68,6,208,48,97,112,32,114,57
27,Pendik,726481,179,4036,3055,36664,40.8765892,29.2333417,38,77,5,197,25,81,109,19,102,78
28,Sancaktepe,456861,62,7319,2633,31602,40.9968872,29.2366011,8,16,3,56,9,42,91,26,35,5
29,Sarıyer,335298,175,1912,7308,87696,41.1706034,29.0543628,11,15,8,95,9,60,75,13,54,21
30,Silivri,200215,869,230,2372,28464,41.0732043,28.2469222,30,39,10,138,26,85,134,27,126,39
31,Sultanbeyli,343318,29,11782,2172,26064,40.9680869,29.2587886,25,27,4,124,12,56,112,19,91,31
32,Sultangazi,537488,36,14807,2187,26244,41.1209372,28.874912787276514,4,1,1,5,1,4,18,0,1,2
33,Şile,37904,781,48,2482,29789,-31.7613365,-71.3187697,0,0,0,0,0,0,0,0,0,0
34,Şişli,266793,10,24911,7822,93864,41.0612733,28.9850203,63,76,10,200,56,100,151,73,116,95
35,Tuzla,273608,123,2213,3407,40884,44.5391105,18.675193,8,4,3,16,10,5,7,1,6,2
36,Ümraniye,713803,45,15754,3637,43641,41.0222688,29.090073,25,68,5,174,19,89,122,51,113,52
37,Üsküdar,520771,35,14740,6987,83839,41.0249053,29.0175283,43,59,6,153,17,87,117,17,87,76
38,Zeytinburnu,283657,11,24474,3644,6036,40.9881179,28.9036351,31,41,7,163,35,75,115,49,135,47
